Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,Total_Quantity,Current_Price
659-1,Police Patrol,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},49.0,2.0,953.0,3.7,1.0,55.0
314-1,Police Launch,1976,LEGOLAND,Vintage,Boats,Normal,{Not specified},0,{Not specified},53.0,2.0,1118.0,3.2,1.0,149.2976
369-1,Coast Guard Station,1976,LEGOLAND,Vintage,Building,Normal,{Not specified},0,{Not specified},275.0,5.0,462.0,0.0,1.0,250.0
485-1,Fire Truck,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},72.0,3.0,347.0,0.0,1.0,165.0
787-1,Storage Cloth,1977,Basic,Basic,Supplementaries,Normal,{Not specified},0,{Not specified},1.0,,235.0,0.0,1.0,90.0
1124-1,Digger Bucket Assembly,1977,Service Packs,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,3.0,,38.0,0.0,1.0,4.25
1151-1,Train Power Pick-Up Blocks,1977,Service Packs,Miscellaneous,,Normal,{Not specified},0,{Not specified},2.0,,24.0,0.0,3.0,17.0
642-1,Tow Truck and Car,1978,Town,Modern day,Classic,Normal,Box,0,Retail,44.0,,1085.0,0.0,1.0,299.99
948-1,Go-Kart,1978,Technic,Technical,,Normal,Box,0,Retail,206.0,,765.0,0.0,1.0,349.99
551-1,"Road Plates, Junction",1979,Town,Modern day,Accessories,Normal,Shrink-wrapped,0,Retail,2.0,,513.0,0.0,1.0,40.0
608-2,Taxi,1979,Town,Modern day,Classic,Normal,{Not specified},0,{Not specified},25.0,1.0,1618.0,3.1,1.0,99.99
646-1,Auto Service,1979,Town,Modern day,Classic,Normal,{Not specified},0,{Not specified},43.0,1.0,1253.0,3.3,1.0,188.4539
1115-1,"Lighting Brick, 4.5V",1980,Service Packs,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,1.0,,60.0,0.0,2.0,5.95
6305-1,Trees and Flowers,1980,Town,Modern day,Accessories,Normal,Box,0,Retail,12.0,,1842.0,3.8,1.0,49.99
6647-1,Highway Repair,1980,Town,Modern day,Maintenance,Normal,Box,0,Retail,55.0,1.0,2166.0,3.9,1.0,222.5061
6679-2,Exxon Tow Truck,1980,Town,Modern day,Vehicles,Normal,Box,0,Retail - limited,79.0,1.0,784.0,4.1,1.0,199.99
7816-1,Shell Tanker Wagon,1980,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},120.0,1.0,559.0,0.0,1.0,189.99
7818-1,Passenger Coach,1980,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},114.0,2.0,585.0,4.0,1.0,347.32
7822-1,Railway Station,1980,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},384.0,3.0,806.0,4.1,1.0,389.99
7850-1,8 Straight Rails Grey 4.5V,1980,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},32.0,,1122.0,3.9,4.0,39.99
7852-1,Left and Right Points Manual Grey 4.5V,1980,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},14.0,,804.0,0.0,1.0,24.97
7853-1,"Crossing, Grey 4.5V",1980,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},5.0,,381.0,0.0,1.0,24.97
6600-1,Police Patrol,1981,Town,Modern day,Classic,Normal,Box,0,Retail - limited,23.0,1.0,716.0,0.0,1.0,79.0
7862-1,Remote Controlled Decoupling and Signal 12V,1981,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},16.0,,428.0,0.0,1.0,174.99
1912-1,Car,1983,Basic,Basic,,Normal,Polybag,0,Promotional,20.0,,346.0,0.0,3.0,8.99
1913-1,Boat,1983,Basic,Basic,,Normal,Polybag,0,Promotional,27.0,,324.0,0.0,2.0,6.99
1914-1,Helicopter,1983,Basic,Basic,,Normal,Polybag,0,Promotional,20.0,,408.0,0.0,4.0,4.99
1915-1,Aircraft,1983,Basic,Basic,,Normal,Polybag,0,Promotional,20.0,,304.0,0.0,2.0,7.99
6623-1,Police Car,1983,Town,Modern day,Police,Normal,Box,0,Retail,39.0,1.0,3849.0,3.8,1.0,119.99
6823-1,Surface Transport,1983,Space,Action/Adventure,Classic,Normal,{Not specified},0,{Not specified},27.0,1.0,4452.0,3.6,1.0,139.99
7755-1,Diesel Heavy Shunting Locomotive,1983,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,164.0,1.0,529.0,4.2,2.0,850.0
7867-1,4 Lighting Standards Electric 12V,1983,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,52.0,,1033.0,4.5,1.0,99.0
1032-1,Technic II Powered Machines Set,1984,Dacta,Educational,Technic,Normal,{Not specified},0,{Not specified},278.0,,198.0,0.0,1.0,106.25
6621-1,Fire Truck,1984,Town,Modern day,Fire,Normal,Box,0,Retail,38.0,1.0,2851.0,3.4,1.0,99.0
508-1,"Basic Building Set, 5+",1985,Basic,Basic,,Normal,{Not specified},0,{Not specified},66.0,,37.0,0.0,1.0,24.99
730-2,"Basic Building Set, 7+",1985,Basic,Basic,,Normal,{Not specified},0,{Not specified},412.0,2.0,610.0,4.2,1.0,166.5
810-1,Basic Motor Set,1985,Basic,Basic,Supplementaries,Normal,{Not specified},0,{Not specified},34.0,,554.0,0.0,2.0,75.0
1560-3,Basic Building Set,1985,Basic,Basic,Universal Building Set,Normal,Box,0,Promotional,27.0,,72.0,0.0,3.0,5.0
1562-2,Basic Building Set,1985,Basic,Basic,,Normal,Box,0,Retail - limited,32.0,,65.0,0.0,1.0,6.0
6368-1,Jet Airliner,1985,Town,Modern day,Flight,Normal,Box,0,Retail,136.0,2.0,4525.0,4.1,1.0,150.0
6604-1,Formula 1 Racer,1985,Town,Modern day,Racing,Normal,Box,0,Retail,31.0,1.0,4076.0,3.1,1.0,80.0
6697-1,Rescue-I Helicopter,1985,Town,Modern day,Emergency,Normal,Box,0,Retail - limited,82.0,2.0,3220.0,4.1,1.0,119.99
6882-1,Walking Astro Grappler,1985,Space,Action/Adventure,Classic,Normal,Box,0,Retail,92.0,1.0,3144.0,3.8,1.0,425.0
6952-1,Solar Power Transporter,1985,Space,Action/Adventure,Classic,Normal,Box,0,Retail,317.0,5.0,2336.0,4.3,1.0,595.0
7817-1,Crane Wagon,1985,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,147.0,1.0,835.0,3.9,1.0,169.99
7835-1,Road Crossing,1985,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,129.0,1.0,1453.0,4.4,1.0,134.0
813-1,"Baseplate, Green",1986,Basic,Basic,Supplementaries,Normal,{Not specified},0,{Not specified},1.0,,333.0,0.0,1.0,10.0
1555-1,Santa Claus,1986,Basic,Basic,Seasonal,Normal,Polybag,0,Retail - limited,19.0,,1066.0,0.0,1.0,2.0
1580-1,Lunar Scout,1986,Space,Action/Adventure,Classic,Normal,Box,0,Retail - limited,72.0,1.0,829.0,4.1,1.0,250.0
5580-1,Highway Rig,1986,Model Team,Model making,,Normal,Box,0,Retail,667.0,,2963.0,4.5,1.0,810.0
6023-1,Maiden's Cart,1986,Castle,Historical,Lion Knights,Normal,Box,0,Retail,43.0,2.0,2672.0,3.8,2.0,300.0
6067-1,Guarded Inn,1986,Castle,Historical,Lion Knights,Normal,Box,0,Retail,230.0,4.0,2655.0,4.6,3.0,1140.0
6074-1,Black Falcon's Fortress,1986,Castle,Historical,Black Falcons,Normal,Box,0,Retail,430.0,6.0,4689.0,4.5,1.0,1300.0
6311-1,"Road Plates, Curved",1986,Town,Modern day,Accessories,Normal,Shrink-wrapped,0,Retail,2.0,,2304.0,3.9,1.0,26.02
6312-1,"Road Plates, Straight",1986,Town,Modern day,Accessories,Normal,Shrink-wrapped,0,Retail,2.0,,2293.0,4.1,2.0,40.9
6313-1,"Road Plates, Cross",1986,Town,Modern day,Accessories,Normal,Shrink-wrapped,0,Retail,2.0,,1679.0,4.3,1.0,45.6
6658-1,Bulldozer,1986,Town,Modern day,Construction,Normal,Box,0,Retail,65.0,1.0,3640.0,3.8,2.0,120.0
6659-1,TV Camera Crew,1986,Town,Modern day,Vehicles,Normal,Box,0,Retail,64.0,2.0,3447.0,3.6,1.0,299.99
6677-1,Motocross Racing,1986,Town,Modern day,Racing,Normal,Box,0,Retail,72.0,1.0,2954.0,4.0,1.0,229.99
6702-1,Space Mini-Figures,1986,Space,Action/Adventure,Classic,Normal,Box,0,Retail,56.0,6.0,1212.0,4.4,2.0,364.5
